A
AAL
AAP
AAPL
ABBV
ABC
ABT
ACN
ADBE
ADI
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AFL
AGN
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALLE
ALXN
AMAT
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
ANSS
ANTM
AON
AOS
APA
APC
APD
APH
APTV
ARE
ARNC
ATVI
AVB
AVGO
AVY
AWK
AXP
AYI
AZO
BA
BAC
BAX
BBT
BBY
BDX
BEN
BHF
BHGE
BIIB
BK
BKNG
BLK
BLL
BMY
BSX
BWA
BXP
C
CAG
CAH
CAT
CB
CBOE
CBRE
CBS
CCI
CCL
CDNS
CELG
CERN
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COO
COP
COST
COTY
CPB
CRM
CSRA
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
CXO
DAL
DE
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISH
DLR
DLTR
DRI
DRIP
DUK
DUST
DVA
DVN
DWDP
EA
ECL
ED
EFX
EIX
EL
EMR
EOG
EQIX
EQR
EQT
ES
ESS
ETR
EW
EXC
EXPD
EXPE
EXR
F
FAST
FAZ
FB
FBHS
FCX
FDX
FE
FFIV
FIS
FISV
FITB
FL
FLIR
FLR
FLS
FMC
FOXA
FRT
FTI
FTV
GD
GE
GILD
GIS
GLW
GM
GPC
GPN
GPS
GRMN
GS
GT
GWW
HAL
HAS
HBAN
HBI
HCA
HCP
HD
HES
HIG
HII
HLT
HOG
HOLX
HON
HP
HPE
HPQ
HRB
HRL
HRS
HSIC
HST
HSY
HUM
IBM
ICE
IDXX
IFF
ILMN
INCY
INFO
INTC
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
JBHT
JCI
JEC
JNJ
JNPR
JPM
JWN
K
KEY
KHC
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
KSU
L
LABD
LB
LEG
LEN
LH
LKQ
LLL
LLY
LMT
LNC
LNT
LOW
LRCX
LUV
LYB
M
MA
MAA
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MKC
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MRO
MS
MSFT
MSI
MTB
MTD
MU
MYL
NAVI
NBL
NCLH
NDAQ
NEE
NEM
NFLX
NI
NKE
NKTR
NLSN
NOC
NOV
NRG
NSC
NTAP
NTRS
NUE
NVDA
NWL
NWS
NWSA
O
OKE
OMC
ORCL
ORLY
OXY
PAYX
PBCT
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
PYPL
QCOM
QRVO
RCL
RE
REG
REGN
RF
RHI
RHT
RJF
RL
RMD
ROK
ROP
ROST
RRC
RSG
RTN
SBAC
SBUX
SCHW
SEE
SHW
SIVB
SJM
SLB
SLG
SNA
SNPS
SO
SOXS
SPG
SPGI
SPXS
SRCL
SRE
SSO
STI
STT
STX
STZ
SWK
SWKS
SYF
SYK
SYMC
SYY
T
TAP
TDG
TEL
TGT
TIF
TJX
TMK
TMO
TPR
TRIP
TROW
TRV
TSCO
TSN
TSS
TTWO
TXN
TXT
TZA
UA
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URI
USB
UTX
V
VAR
VFC
VIAB
VLO
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAT
WBA
WDC
WEC
WELL
WFC
WHR
WLTW
WM
WMB
WMT
WRK
WU
WY
WYNN
XEC
XEL
XLNX
XOM
XRAY
XRX
XYL
YUM
ZBH
ZION
ZTS
